zipcode,city,state
92111,SAN DIEGO,CA
92064,POWAY,CA
92024,ENCINITAS,CA
92025,ESCONDIDO,CA
92025,ESCONDIDO,CA
91910,CHULA VISTA,CA
91910,CHULA VISTA,CA
91945,LEMON GROVE,CA
92020,EL CAJON,CA
92019,EL CAJON,CA
92040,LAKESIDE,CA
92021,EL CAJON,CA
92243,EL CENTRO,CA
92243,EL CENTRO,CA
92227,BRAWLEY,CA
93436,LOMPOC,CA
93437,VANDENBERG AFB,CA
93433,GROVER BEACH,CA
93405,SAN LUIS OBISPO,CA
93454,SANTA MARIA,CA
93454,SANTA MARIA,CA
93033,OXNARD,CA
90245,LOS ANGELES,CA
90278,REDONDO BEACH,CA
90278,REDONDO BEACH,CA
90250,HAWTHORNE,CA
91301,AGOURA HILLS,CA
91367,WOODLAND HILLS,CA
90405,SANTA MONICA,CA
90045,LOS ANGELES,CA
90045,LOS ANGELES,CA
90045,LOS ANGELES,CA
90230,CULVER CITY,CA
90045,LOS ANGELES,CA
90045,LOS ANGELES,CA
90304,INGLEWOOD,CA
90045,LOS ANGELES,CA
90045,LOS ANGELES,CA
90034,LOS ANGELES,CA
90230,CULVER CITY,CA
90049,LOS ANGELES,CA
91403,SHERMAN OAKS,CA
90028,LOS ANGELES,CA
91606,NORTH HOLLYWOOD,CA
91606,NORTH HOLLYWOOD,CA
93001,VENTURA,CA
93003,VENTURA,CA
93268,TAFT,CA
93036,OXNARD,CA
93065,SIMI VALLEY,CA
93015,FILLMORE,CA
93065,SIMI VALLEY,CA
91303,CANOGA PARK,CA
91306,WINNETKA,CA
91311,CHATSWORTH,CA
91321,SANTA CLARITA,CA
91355,VALENCIA,CA
91330,NORTHRIDGE,CA
91325,NORTHRIDGE,CA
91406,VAN NUYS,CA
91402,VAN NUYS,CA
91605,NORTH HOLLYWOOD,CA
91605,NORTH HOLLYWOOD,CA
91331,PACOIMA,CA
91340,SAN FERNANDO,CA
93203,ARVIN,CA
93930,KING CITY,CA
93442,MORRO BAY,CA
93422,ATASCADERO,CA
93210,COALINGA,CA
93907,SALINAS,CA
93901,SALINAS,CA
93905,SALINAS,CA
93906,SALINAS,CA
93905,SALINAS,CA
93907,SALINAS,CA
95012,CASTROVILLE,CA
95023,HOLLISTER,CA
93960,SOLEDAD,CA
95076,WATSONVILLE,CA
95020,GILROY,CA
95037,MORGAN HILL,CA
93630,KERMAN,CA
93635,LOS BANOS,CA
95334,LIVINGSTON,CA
95334,LIVINGSTON,CA
93638,MADERA,CA
95348,MERCED,CA
95341,MERCED,CA
93280,WASCO,CA
93215,DELANO,CA
93245,LEMOORE,CA
93230,HANFORD,CA
93274,TULARE,CA
93274,TULARE,CA
93277,VISALIA,CA
93277,VISALIA,CA
93309,BAKERSFIELD,CA
93311,BAKERSFIELD,CA
93304,BAKERSFIELD,CA
93304,BAKERSFIELD,CA
93305,BAKERSFIELD,CA
93308,BAKERSFIELD,CA
93306,BAKERSFIELD,CA
93305,BAKERSFIELD,CA
93240,LAKE ISABELLA,CA
93257,PORTERVILLE,CA
93257,PORTERVILLE,CA
93247,LINDSAY,CA
93221,EXETER,CA
93702,FRESNO,CA
93727,FRESNO,CA
93710,FRESNO,CA
93612,CLOVIS,CA
93612,CLOVIS,CA
93618,DINUBA,CA
93644,OAKHURST,CA
92653,LAGUNA HILLS,CA
92618,IRVINE,CA
92694,LADERA RANCH,CA
92688,RANCHO STA MARG,CA
90813,LONG BEACH,CA
90502,TORRANCE,CA
90061,LOS ANGELES,CA
90806,LONG BEACH,CA
90804,LONG BEACH,CA
90712,LAKEWOOD,CA
90712,LAKEWOOD,CA
90220,COMPTON,CA
92845,GARDEN GROVE,CA
92648,HUNTINGTON BEACH,CA
92648,HUNTINGTON BEACH,CA
92626,COSTA MESA,CA
92683,WESTMINSTER,CA
92647,HUNTINGTON BEACH,CA
90716,HAWAIIAN GARDENS,CA
90701,ARTESIA,CA
90623,LA PALMA,CA
90650,NORWALK,CA
92802,ANAHEIM,CA
92802,ANAHEIM,CA
90638,LA MIRADA,CA
92832,FULLERTON,CA
90631,LA HABRA,CA
90303,INGLEWOOD,CA
90043,LOS ANGELES,CA
90047,LOS ANGELES,CA
90003,LOS ANGELES,CA
90002,LOS ANGELES,CA
90003,LOS ANGELES,CA
90001,LOS ANGELES,CA
90001,LOS ANGELES,CA
90007,LOS ANGELES,CA
90062,LOS ANGELES,CA
90016,LOS ANGELES,CA
90006,LOS ANGELES,CA
90037,LOS ANGELES,CA
90011,LOS ANGELES,CA
90021,LOS ANGELES,CA
90280,SOUTH GATE,CA
90280,SOUTH GATE,CA
90201,CUDAHY,CA
90242,DOWNEY,CA
90280,SOUTH GATE,CA
90240,DOWNEY,CA
90023,LOS ANGELES,CA
90033,LOS ANGELES,CA
90004,LOS ANGELES,CA
90029,LOS ANGELES,CA
90027,LOS ANGELES,CA
90057,LOS ANGELES,CA
90026,LOS ANGELES,CA
91204,GLENDALE,CA
90065,LOS ANGELES,CA
91502,BURBANK,CA
91203,GLENDALE,CA
91205,GLENDALE,CA
90042,HIGHLAND PARK,CA
90041,LOS ANGELES,CA
91104,PASADENA,CA
90606,WHITTIER,CA
90602,WHITTIER,CA
90640,MONTEBELLO,CA
90660,PICO RIVERA,CA
90640,MONTEBELLO,CA
90631,LA HABRA,CA
91746,LA PUENTE,CA
91744,LA PUENTE,CA
91780,TEMPLE CITY,CA
91007,ARCADIA,CA
91706,BALDWIN PARK,CA
91706,BALDWIN PARK,CA
91722,COVINA,CA
91016,MONROVIA,CA
92660,NEWPORT BEACH,CA
92704,SANTA ANA,CA
92705,SANTA ANA,CA
92701,SANTA ANA,CA
92868,ORANGE,CA
92705,SANTA ANA,CA
92780,TUSTIN,CA
92705,SANTA ANA,CA
92805,ANAHEIM,CA
92805,ANAHEIM,CA
92831,FULLERTON,CA
92821,BREA,CA
92808,ANAHEIM,CA
92881,CORONA,CA
92860,NORCO,CA
91765,DIAMOND BAR,CA
91766,POMONA,CA
91791,WEST COVINA,CA
91724,COVINA,CA
91773,SAN DIMAS,CA
91702,AZUSA,CA
91768,POMONA,CA
91767,POMONA,CA
91761,ONTARIO,CA
91761,ONTARIO,CA
91761,ONTARIO,CA
91786,UPLAND,CA
91764,ONTARIO,CA
91761,ONTARIO,CA
91701,RANCHO CUCAMONGA,CA
92054,OCEANSIDE,CA
92058,OCEANSIDE,CA
92054,OCEANSIDE,CA
92058,OCEANSIDE,CA
92081,VISTA,CA
92078,SAN MARCOS,CA
92083,VISTA,CA
92029,ESCONDIDO,CA
92025,ESCONDIDO,CA
92027,ESCONDIDO,CA
92028,FALLBROOK,CA
92532,LAKE ELSINORE,CA
92503,RIVERSIDE,CA
92571,PERRIS,CA
92503,RIVERSIDE,CA
92506,RIVERSIDE,CA
92507,RIVERSIDE,CA
92376,RIALTO,CA
92376,RIALTO,CA
92408,SAN BERNARDINO,CA
92405,SAN BERNARDINO,CA
92553,MORENO VALLEY,CA
92320,CALIMESA,CA
92346,HIGHLAND,CA
92583,SAN JACINTO,CA
92230,CABAZON,CA
91214,LA CRESCENTA,CA
93551,PALMDALE,CA
93551,PALMDALE,CA
93536,LANCASTER,CA
93536,LANCASTER,CA
93534,LANCASTER,CA
93534,LANCASTER,CA
93550,PALMDALE,CA
93552,PALMDALE,CA
93543,LITTLEROCK,CA
93524,EDWARDS AFB,CA
93516,BORON,CA
93524,EDWARDS AFB,CA
92344,HESPERIA,CA
92395,VICTORVILLE,CA
92395,VICTORVILLE,CA
92395,VICTORVILLE,CA
92395,VICTORVILLE,CA
92395,VICTORVILLE,CA
92311,BARSTOW,CA
92310,FORT IRWIN,CA
92262,PALM SPRINGS,CA
92260,PALM DESERT,CA
92201,INDIO,CA
92211,PALM DESERT,CA
92309,BAKER,CA
92310,FORT IRWIN,CA
93555,RIDGECREST,CA
89113,LAS VEGAS,NV
89044,LAS VEGAS,NV
89139,LAS VEGAS,NV
89123,LAS VEGAS,NV
89123,LAS VEGAS,NV
89123,LAS VEGAS,NV
89015,HENDERSON,NV
89015,HENDERSON,NV
89148,LAS VEGAS,NV
89146,LAS VEGAS,NV
89135,LAS VEGAS,NV
89144,LAS VEGAS,NV
89117,LAS VEGAS,NV
89145,LAS VEGAS,NV
89128,LAS VEGAS,NV
89103,LAS VEGAS,NV
89103,LAS VEGAS,NV
89111,LAS VEGAS,NV
89111,LAS VEGAS,NV
89169,LAS VEGAS,NV
89108,LAS VEGAS,NV
89102,LAS VEGAS,NV
89104,LAS VEGAS,NV
89104,LAS VEGAS,NV
89106,LAS VEGAS,NV
89108,LAS VEGAS,NV
89149,LAS VEGAS,NV
89130,LAS VEGAS,NV
89031,NORTH LAS VEGAS,NV
89130,LAS VEGAS,NV
89121,LAS VEGAS,NV
89121,LAS VEGAS,NV
89122,LAS VEGAS,NV
89104,LAS VEGAS,NV
89101,LAS VEGAS,NV
89104,LAS VEGAS,NV
89030,NORTH LAS VEGAS,NV
89115,LAS VEGAS,NV
85364,YUMA,AZ
85365,YUMA,AZ
85367,YUMA,AZ
85131,ELOY,AZ
85122,CASA GRANDE,AZ
85122,CASA GRANDE,AZ
85621,NOGALES,AZ
85614,GREEN VALLEY,AZ
85613,FORT HUACHUCA,AZ
85635,SIERRA VISTA,AZ
85635,SIERRA VISTA,AZ
85603,BISBEE,AZ
85743,TUCSON,AZ
85706,TUCSON,AZ
85746,TUCSON,AZ
85713,TUCSON,AZ
85745,TUCSON,AZ
85721,TUCSON,AZ
85705,TUCSON,AZ
85714,TUCSON,AZ
85707,DAVIS MONTHAN,AZ
85707,TUCSON,AZ
85712,TUCSON,AZ
85711,TUCSON,AZ
85712,TUCSON,AZ
85730,TUCSON,AZ
85710,TUCSON,AZ
85710,TUCSON,AZ
85704,TUCSON,AZ
85741,TUCSON,AZ
85737,ORO VALLEY,AZ
85739,TUCSON,AZ
85643,WILLCOX,AZ
85607,DOUGLAS,AZ
85552,THATCHER,AZ
88061,SILVER CITY,NM
92225,BLYTHE,CA
86403,LAKE HAVASU CITY,AZ
89029,LAUGHLIN,NV
86401,KINGMAN,AZ
85338,GOODYEAR,AZ
85338,GOODYEAR,AZ
85395,GOODYEAR,AZ
85307,GLENDALE,AZ
85374,SURPRISE,AZ
85390,WICKENBURG,AZ
85044,PHOENIX,AZ
85283,TEMPE,AZ
85323,AVONDALE,AZ
85392,AVONDALE,AZ
85305,GLENDALE,AZ
85043,PHOENIX,AZ
85339,LAVEEN,AZ
85043,PHOENIX,AZ
85301,GLENDALE,AZ
85035,PHOENIX,AZ
85009,PHOENIX,AZ
85031,PHOENIX,AZ
85335,EL MIRAGE,AZ
85378,SURPRISE,AZ
85381,PEORIA,AZ
85303,GLENDALE,AZ
85302,GLENDALE,AZ
85301,GLENDALE,AZ
85302,GLENDALE,AZ
85306,GLENDALE,AZ
85308,GLENDALE,AZ
85029,PHOENIX,AZ
85053,PHOENIX,AZ
85041,PHOENIX,AZ
85040,PHOENIX,AZ
85034,PHOENIX,AZ
85004,PHOENIX,AZ
85016,PHOENIX,AZ
85040,PHOENIX,AZ
85034,PHOENIX,AZ
85282,TEMPE,AZ
85287,TEMPE,AZ
85251,SCOTTSDALE,AZ
85017,PHOENIX,AZ
85021,PHOENIX,AZ
85029,PHOENIX,AZ
85020,PHOENIX,AZ
85020,PHOENIX,AZ
85022,PHOENIX,AZ
85028,PHOENIX,AZ
85028,PHOENIX,AZ
85032,PHOENIX,AZ
85254,SCOTTSDALE,AZ
85260,SCOTTSDALE,AZ
85248,CHANDLER,AZ
85286,CHANDLER,AZ
85224,CHANDLER,AZ
85224,CHANDLER,AZ
85225,CHANDLER,AZ
85225,CHANDLER,AZ
85224,CHANDLER,AZ
85295,GILBERT,AZ
85296,GILBERT,AZ
85234,GILBERT,AZ
85142,QUEEN CREEK,AZ
85143,SAN TAN VALLEY,AZ
85140,QUEEN CREEK,AZ
85142,QUEEN CREEK,AZ
85282,TEMPE,AZ
85210,MESA,AZ
85201,MESA,AZ
85233,GILBERT,AZ
85204,MESA,AZ
85213,MESA,AZ
85215,MESA,AZ
85258,SCOTTSDALE,AZ
85260,SCOTTSDALE,AZ
85260,SCOTTSDALE,AZ
85207,MESA,AZ
85120,APACHE JUNCTION,AZ
85382,PEORIA,AZ
85308,GLENDALE,AZ
85310,GLENDALE,AZ
85085,PHOENIX,AZ
85050,PHOENIX,AZ
85085,PHOENIX,AZ
86305,PRESCOTT,AZ
86301,PRESCOTT,AZ
86314,PRESCOTT VALLEY,AZ
86322,CAMP VERDE,AZ
86336,SEDONA,AZ
86001,FLAGSTAFF,AZ
86004,FLAGSTAFF,AZ
86004,FLAGSTAFF,AZ
89005,BOULDER CITY,NV
84770,ST GEORGE,UT
84770,ST GEORGE,UT
84737,HURRICANE,UT
85941,WHITERIVER,AZ
85901,SHOW LOW,AZ
85541,PAYSON,AZ
85901,SHOW LOW,AZ
86025,HOLBROOK,AZ
86025,HOLBROOK,AZ
86040,PAGE,AZ
86033,KAYENTA,AZ
86503,CHINLE,AZ
86505,GANADO,AZ
87301,GALLUP,NM
87301,GALLUP,NM
87401,FARMINGTON,NM
87402,FARMINGTON,NM
78560,LA JOYA,TX
78557,HIDALGO,TX
78572,MISSION,TX
78572,MISSION,TX
78501,MCALLEN,TX
78501,MCALLEN,TX
78504,MCALLEN,TX
78504,MCALLEN,TX
78577,PHARR,TX
78577,PHARR,TX
78577,PHARR,TX
78516,ALAMO,TX
78596,WESLACO,TX
78559,LA FERIA,TX
78040,LAREDO,TX
78041,LAREDO,TX
78584,ROMA,TX
78582,RIO GRANDE CITY,TX
78582,RIO GRANDE CITY,TX
78582,RIO GRANDE CITY,TX
78504,MCALLEN,TX
78539,EDINBURG,TX
78539,EDINBURG,TX
78542,EDINBURG,TX
78355,FALFURRIAS,TX
78379,RIVIERA,TX
78046,LAREDO,TX
78041,LAREDO,TX
78040,LAREDO,TX
78041,LAREDO,TX
78045,LAREDO,TX
78041,LAREDO,TX
78332,ALICE,TX
78022,GEORGE WEST,TX
78520,BROWNSVILLE,TX
78521,BROWNSVILLE,TX
78521,BROWNSVILLE,TX
78521,BROWNSVILLE,TX
78520,BROWNSVILLE,TX
78550,HARLINGEN,TX
78550,HARLINGEN,TX
78586,SAN BENITO,TX
78550,HARLINGEN,TX
78520,BROWNSVILLE,TX
78578,PORT ISABEL,TX
78414,CORPUS CHRISTI,TX
78410,CORPUS CHRISTI,TX
78405,CORPUS CHRISTI,TX
78416,CORPUS CHRISTI,TX
78401,CORPUS CHRISTI,TX
78418,CORPUS CHRISTI,TX
78382,ROCKPORT,TX
78377,REFUGIO,TX
79932,EL PASO,TX
79912,EL PASO,TX
79901,EL PASO,TX
79903,EL PASO,TX
79905,EL PASO,TX
79925,EL PASO,TX
79904,EL PASO,TX
79925,EL PASO,TX
79904,EL PASO,TX
79924,EL PASO,TX
88030,DEMING,NM
88007,LAS CRUCES,NM
88001,LAS CRUCES,NM
79821,ANTHONY,TX
88001,LAS CRUCES,NM
79907,EL PASO,TX
79927,SOCORRO,TX
79928,EL PASO,TX
79925,EL PASO,TX
79936,EL PASO,TX
79936,EL PASO,TX
79936,EL PASO,TX
79938,EL PASO,TX
79916,FORT BLISS,TX
79916,FORT BLISS,TX
79916,EL PASO,TX
79916,FORT BLISS,TX
79916,FORT BLISS,TX
88210,ARTESIA,NM
79735,FORT STOCKTON,TX
79762,ODESSA,TX
79765,ODESSA,TX
79705,MIDLAND,TX
79705,MIDLAND,TX
79701,MIDLAND,TX
87105,ALBUQUERQUE,NM
87121,ALBUQUERQUE,NM
87120,ALBUQUERQUE,NM
87102,ALBUQUERQUE,NM
87110,ALBUQUERQUE,NM
87110,ALBUQUERQUE,NM
87114,ALBUQUERQUE,NM
87124,RIO RANCHO,NM
87114,ALBUQUERQUE,NM
87109,ALBUQUERQUE,NM
87113,ALBUQUERQUE,NM
87124,RIO RANCHO,NM
87124,RIO RANCHO,NM
87123,ALBUQUERQUE,NM
87109,ALBUQUERQUE,NM
87111,ALBUQUERQUE,NM
87035,MORIARTY,NM
87035,MORIARTY,NM
87144,RIO RANCHO,NM
87004,BERNALILLO,NM
87004,BERNALILLO,NM
81301,DURANGO,CO
87507,SANTA FE,NM
87505,SANTA FE,NM
87501,SANTA FE,NM
87532,ESPANOLA,NM
88201,ROSWELL,NM
88130,PORTALES,NM
88103,CANNON AFB,NM
88101,CLOVIS,NM
79316,BROWNFIELD,TX
79336,LEVELLAND,TX
79424,LUBBOCK,TX
79414,LUBBOCK,TX
79407,LUBBOCK,TX
79407,LUBBOCK,TX
79423,LUBBOCK,TX
79413,LUBBOCK,TX
79412,LUBBOCK,TX
79412,LUBBOCK,TX
79415,LUBBOCK,TX
79403,LUBBOCK,TX
79072,PLAINVIEW,TX
79119,AMARILLO,TX
79109,AMARILLO,TX
79106,AMARILLO,TX
79109,AMARILLO,TX
79102,AMARILLO,TX
79118,AMARILLO,TX
79107,AMARILLO,TX
79029,DUMAS,TX
78852,EAGLE PASS,TX
78840,DEL RIO,TX
78801,UVALDE,TX
78017,DILLEY,TX
78003,BANDERA,TX
78073,VON ORMY,TX
78251,SAN ANTONIO,TX
78227,SAN ANTONIO,TX
78253,SAN ANTONIO,TX
78250,SAN ANTONIO,TX
78064,PLEASANTON,TX
78227,SAN ANTONIO,TX
78224,SAN ANTONIO,TX
78227,SAN ANTONIO,TX
78236,LACKLAND AFB,TX
78236,LACKLAND AFB,TX
78236,LACKLAND AFB,TX
78237,SAN ANTONIO,TX
78221,SAN ANTONIO,TX
78223,SAN ANTONIO,TX
78223,SAN ANTONIO,TX
78212,SAN ANTONIO,TX
78208,SAN ANTONIO,TX
78234,SAN ANTONIO,TX
78112,ELMENDORF,TX
78220,SAN ANTONIO,TX
78219,SAN ANTONIO,TX
78250,SAN ANTONIO,TX
78229,SAN ANTONIO,TX
78201,SAN ANTONIO,TX
78249,SAN ANTONIO,TX
78249,SAN ANTONIO,TX
